codice_1_liv,label_1_liv,alt_label_1_liv
S01,Attività clinica,
S02,Diagnostica strumentale e per immagini,
S03,Attività di laboratorio,
S04,Attività di consultorio familiare,
S05,Assistenza psichiatrica,
S06,Assistenza per dipendenze patologiche,
S07,Assistenza persone con infezione da HIV,
S08,Assistenza termale,
S09,Assistenza agli anziani,
S10,Assistenza ai disabili fisici,
S11,Assistenza ai disabili psichici,
S12,Assistenza alle persone nella fase terminale della vita,
S13,Assistenza per emergenze sanitarie,
S14,Vaccinazioni per emergenze pandemiche,
S15,Prescrizione farmaci Nota 99 AIFA,
S16,Assistenza di Neuropsichiatria infantile e dell'adolescenza,
S17,Attività di Ospedale di Comunità,
S18,Attività di Centrale Operativa Territoriale,
S19,Attività di Residenza per l'Esecuzione delle misure di sicurezza,R.E.M.S.
